year,value,host,type_fdi,home,indicator
2009,0,NIC,total,ESP,million_USD
2010,0,NIC,total,ESP,million_USD
2011,NA,NIC,total,ESP,million_USD
2012,0,NIC,total,ESP,million_USD
2013,0,NIC,total,ESP,million_USD
2014,0,NIC,total,ESP,million_USD
2015,1.020752338854272,NIC,total,ESP,million_USD
2016,1.6714245075108944,NIC,total,ESP,million_USD
2017,1.6380367959548399,NIC,total,ESP,million_USD
2018,2.361908091070452,NIC,total,ESP,million_USD
2019,22.512638870852903,NIC,total,ESP,million_USD
2007,NA,NGA,total,ESP,million_USD
2008,NA,NGA,total,ESP,million_USD
2009,NA,NGA,total,ESP,million_USD
2010,NA,NGA,total,ESP,million_USD
2011,NA,NGA,total,ESP,million_USD
2012,NA,NGA,total,ESP,million_USD
2013,NA,NGA,total,ESP,million_USD
2014,NA,NGA,total,ESP,million_USD
2015,NA,NGA,total,ESP,million_USD
2016,NA,NGA,total,ESP,million_USD
2017,NA,NGA,total,ESP,million_USD
2018,NA,NGA,total,ESP,million_USD
2019,NA,NGA,total,ESP,million_USD
2007,NA,PAK,total,ESP,million_USD
2008,0,PAK,total,ESP,million_USD
2009,NA,PAK,total,ESP,million_USD
2010,NA,PAK,total,ESP,million_USD
2011,NA,PAK,total,ESP,million_USD
2012,NA,PAK,total,ESP,million_USD
2013,NA,PAK,total,ESP,million_USD
2014,NA,PAK,total,ESP,million_USD
2015,NA,PAK,total,ESP,million_USD
2016,NA,PAK,total,ESP,million_USD
2017,NA,PAK,total,ESP,million_USD
2018,NA,PAK,total,ESP,million_USD
2019,NA,PAK,total,ESP,million_USD
2007,54.43541755747788,PRY,total,ESP,million_USD
2008,246.79265152083394,PRY,total,ESP,million_USD
2009,247.1832380697335,PRY,total,ESP,million_USD
2010,326.9880115443405,PRY,total,ESP,million_USD
2011,200.78951690807807,PRY,total,ESP,million_USD
2012,264.92346512697566,PRY,total,ESP,million_USD
2013,318.8679119988844,PRY,total,ESP,million_USD
2014,205.34641995514983,PRY,total,ESP,million_USD
2015,181.81596279135823,PRY,total,ESP,million_USD
2016,301.0888611179063,PRY,total,ESP,million_USD
2017,300.65318129339386,PRY,total,ESP,million_USD
2018,268.4072354692462,PRY,total,ESP,million_USD
2019,211.8270277047631,PRY,total,ESP,million_USD
2007,164.64932188709446,PER,total,ESP,million_USD
2008,759.7330874231347,PER,total,ESP,million_USD
2009,510.85279751394086,PER,total,ESP,million_USD
2010,948.2453477288484,PER,total,ESP,million_USD
2011,1241.2620021324751,PER,total,ESP,million_USD
2012,1548.6973525640528,PER,total,ESP,million_USD
2013,530.2246512029432,PER,total,ESP,million_USD
2014,674.9715700757777,PER,total,ESP,million_USD
2015,285.8217500133143,PER,total,ESP,million_USD
2016,286.1235238056233,PER,total,ESP,million_USD
2017,465.07818519079177,PER,total,ESP,million_USD
2018,436.362519825266,PER,total,ESP,million_USD
2019,610.6735208379046,PER,total,ESP,million_USD
2007,0.12334309114232149,DOM,total,ESP,million_USD
2008,0.014707547766438256,DOM,total,ESP,million_USD
2009,0.013947818421720657,DOM,total,ESP,million_USD
2010,0.013257166492776832,DOM,total,ESP,million_USD
2011,0.01391955056555134,DOM,total,ESP,million_USD
2012,21.211864254347084,DOM,total,ESP,million_USD
2013,34.66388647245151,DOM,total,ESP,million_USD
2014,46.05913424238236,DOM,total,ESP,million_USD
2015,30.03452805737516,DOM,total,ESP,million_USD
2016,110.87853835587171,DOM,total,ESP,million_USD
2017,86.38667157701146,DOM,total,ESP,million_USD
2018,268.7851407638175,DOM,total,ESP,million_USD
2019,643.2950174414179,DOM,total,ESP,million_USD
2007,NA,RWA,total,ESP,million_USD
2008,0,RWA,total,ESP,million_USD
2009,NA,RWA,total,ESP,million_USD
2010,NA,RWA,total,ESP,million_USD
2011,NA,RWA,total,ESP,million_USD
2012,NA,RWA,total,ESP,million_USD
2013,NA,RWA,total,ESP,million_USD
2014,NA,RWA,total,ESP,million_USD
2015,NA,RWA,total,ESP,million_USD
2016,NA,RWA,total,ESP,million_USD
2017,NA,RWA,total,ESP,million_USD
2018,NA,RWA,total,ESP,million_USD
2019,NA,RWA,total,ESP,million_USD
2007,6.701641285399467,SEN,total,ESP,million_USD
2008,NA,SEN,total,ESP,million_USD
2009,NA,SEN,total,ESP,million_USD
2010,NA,SEN,total,ESP,million_USD
2011,NA,SEN,total,ESP,million_USD
2012,NA,SEN,total,ESP,million_USD
2013,NA,SEN,total,ESP,million_USD
2014,NA,SEN,total,ESP,million_USD
2015,NA,SEN,total,ESP,million_USD
2016,NA,SEN,total,ESP,million_USD
2017,NA,SEN,total,ESP,million_USD
2018,NA,SEN,total,ESP,million_USD
2019,NA,SEN,total,ESP,million_USD
2007,NA,LKA,total,ESP,million_USD
2008,NA,LKA,total,ESP,million_USD
2009,NA,LKA,total,ESP,million_USD
